id,situationtext
449,"Y strongly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  X solved 8 problems, Y solved 15.According to the rules, Y earned $2.25, X earned $0.00.respects the original performance-based structure. It acknowledges that X still put in time and effort.  It adds a small fairness cushion without undermining Y's success."
450,Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  participant X tried even though he came short. It is fair to recognize his efforts.
451,"Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I chose to award participant X with the sum of 0.45 since they did solve part of the problems and contributed work though not as much as participant Y. It is only just to appreciate their work other than providing nothing to them. Meanwhile, I left the majority of the money with the participant Y as he evidently solved two times more problems. This manner, the reward continues to indicate how effectively every individual performed although it is a tad bit more equitable to the lower scorer."
452,Y strongly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I thought it would be most fair that participant X earn something for the questions they answered. I redistributed the earnings in a purely mathematical manner. There were 23 questions answered in total. $2.55 divided by 23 and multiplied by the 6 questions that participant X answered is (rounding to the second decimal place) $0.67.
453,Y slightly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Person x tried his best and was close to person y
454,Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  i didn't see a reason for redistribution
455,Y barely outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  they answered almost equal number correctly but Y answered more.
456,"Y strongly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  Based on the given information, the  distribution of money between the two doesn't seem right and fair to me. X solved as half as what Y solved, so I felt it would be fair to give X a third of what Y got, hence the distribution."
457,Y strongly outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  This is because the person also did the work and had a few questions right therefore they deserve something small as much as they did not perform best.
458,Y slightly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  It is act of kindness and best way to show good humanitarian effort despite not knowing who is participant Y
459,Y moderately outperformed X. The DM gave an equal share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I feel that if everyone is doing the same survey then everyone should be paid the same
460,Y barely outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I did not find any good reason why participant Y should share his/her earnings with participant X
461,Y strongly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  i distributed 1.8 to participant x because had done a third  of what participant y had done
462,Y strongly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I  wanted it to be fair.
463,"Y slightly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  The rules were clear: only the better performer earns money. Y solved more problems fairly. Changing that after the fact isnt fair to Y, so no money should be given to X."
464,Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  X got 17 correct answer while Y got 19. It seems unfair to me to award all the bonus to Y just based on the 2 extra questions gotten right. The 2 correct answers cannot be an enough gauge to determine the efforts put towards the study by either participant. A more fair outcome would be 1.35usd for X and 1.5usd for Y.
465,Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  My reason is based on fairness and empathy.
466,Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  My decision was primarily motivated by fairness and the recognition of effort
467,Y strongly outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Because the gap in performance wasn't so wide. Participant X deserved a fraction of Y's earning.
469,Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Participant Y earned more than X because it was stated that 15cents per correct answer to one who solves the most problems and nothing to the one that solves the least problems.
470,"Y barely outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  In determining whether to redistribute earnings between Participant X and Participant Y, several key considerations guided my decision:    Minimal Effort Difference: The difference in the number of problems solved between the two participants was just one (12 vs. 13). Such a small discrepancy suggests that the effort expended was nearly identical, making a substantial earnings gap seem disproportionate.    Equity and Fairness Principles: Equity theory posits that individuals perceive fairness when rewards are proportional to contributions. In this context, the minimal difference in effort challenges the fairness of a significant earnings disparity."
471,"Y barely outperformed X. The DM gave a low share to Y. In the baseline treatment. Motivation provided by DM:  I decided to give the full amount to Participant X because I believe everyone who puts in effort should receive something, even if they didnt outperform their partner. The difference between their performances was small, and I felt it was fair to recognize both contributions equally rather than let one person walk away with nothing."
472,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  I chose not to redistribute since the task was defined as performance based and competitive with both participants been aware beforehand.
473,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The person who accepted the task agreed to the rules. They only completed 12 tasks while the other completed 20. I don't think the person with 20 completed should give up earnings they rightfully (IMO) earned.
474,Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:   of the initial study
475,Y barely outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  I just followed the original rules set
476,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Person X got many fewer answers correct compared to Person Y
477,Y slightly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  This is because i felt like Y deserved to get more reward for doing a better job that X.This made me choose them because they tackled more than Y did.
478,"Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  X still made a solid effort (13 correct answers!). A token portion from Y (e.g., $0.50 or $1) would acknowledge Xs contribution while still giving Y the bulk."
479,Y moderately outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Because the person who answered more won fair and square
480,Y moderately outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  I think participant X should get a reward for the five problems they solved.
481,Y strongly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I chose to pay the participant X 1.00 because I think that they should receive some compensation despite the fact they did not perform especially better as compared to other participants. This will motivate them to participate and even be rewarded with greater performance.
482,"Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:   The performance difference isnt very extreme, and equalizing the rewards promotes fairness and also compassion."
483,"Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The rules stated that if one person didn't solve as many problems correctly as their partner, they wouldn't get any money. So I would find it unfair to take money from the person who earned it."
484,"Y slightly outperformed X. The DM gave a low share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I chose to give Participant X the full amount because they completed the task successfully and met the conditions for earning the reward. There was no reason to reduce their payment, and I believe people should keep what theyve fairly earned."
485,Y slightly outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  I figured I would just split evenly between the two regardless of performance as this is the most equitable solution in my mind.
486,"Y slightly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  My sole reason for giving participant X some of Participant Y's winnings is there was a close margin between the two and they both performed well. Regardless of the game's rules, I decided participant X was worth a reward for coming in at second place and participant Y the bigger piece of the cake for emerging victorious."
487,Y moderately outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Because Y earned the amount in a fair manner
488,Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Participant x also deserved a reward as he or she had contributed in answering some questions.
489,Y barely outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  I decided to give participant X $1.25 as he worked as hard as participant Y. Only got one less problem solved.
490,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The instructions stated that participants would only get paid if they did the same number of tasks as the other participants.  Redistributing the income would be against the instructions and that does not seem fair.
491,"Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Y earned the money by solving more problems, and both knew the rules from the start. It feels fair to let the results stand as they are."
492,Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  One did slightly more work but does not mean that one should get nothing
493,Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  My main reason is to reduce the significant disparity in earnings between participant X and Y considering both participants contributed effort.
494,"Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Well, based on the instructions and guidelines of the task, it will be more consistent with the design and expectations of the task to leave the earnings unchanged."
495,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  If the reward is based on merit. Then that means that person Y earned it and it would be unfair to just take a part of their reward and give it away without their consent.
497,Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The one who performed better deserves what he or she earned
498,Y slightly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I tried to make it a close enough proportionately. But not half.
499,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  participant Y earned their payment through effort and ability within the constraints of the task.
500,"Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  FOR PERSON X EFFORT, HE SHOULD BE PAID, BUT LESS THAN PERSON Y"
501,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  to get the most profit
503,Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Because participant X solved almost as many as the other participant
504,"Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Both participants agreed beforehand that payment would only be received if they solved at least as many problems as their partner. Since Y solved more than X, That amount was given"
505,Y barely outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  This split the honors fairly while still rewarding stronger performance.
506,Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I wanted to share a little bit of the funds but not all of it.
507,"Y moderately outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I know the rule said you only get paid if you do better than the other person, and Y did better. But I still think X tried too and giving a little money is more fair and Y still get to keep most of it."
508,Y strongly outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  The reason is that participant X solve some questions hence the participant deserver some compensation.
510,"Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Participant Y solved significantly more problems and earned their reward based on merit. But of a fair gesture solidarity, possibly acknowledging effort or external disadvantages."
512,Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  it was just to be fair
513,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Participant Y earned their earnings.  It is unjust to take.
514,"Y slightly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The rules and stakes were laid out to the participants prior to their completion of the tasks. If a participant failed to get the offered bonus, I am under no obligation to allot them oneespecially not if it takes away from another participant."
515,Y slightly outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  i want participant Y to have a share also
516,"Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  I don't want to penalize participant Y just because they did well on the problems. If participant Y did better than Participant X, then Participant Y deserves the full pay."
517,Y slightly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  I chose not to share the money because the rules were clear. Y solved more problems and earned it. X knew the rules too. It seems fair to keep it the way it was set.
518,"Y slightly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  The instructions were very clear that the participants would only be paid if, in fact, they got more answers correct then the other participant, thus it is only fair that the payments be as stipulated."
519,"Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I felt person 1 dont deserve 0 since they did some work, but I didnt want to take too much from person 2"
520,Y strongly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I looked at the ratio of the work done if 14 solutions earned him 2.1 then 5 solutions should earn X at least 0.3
523,"Y strongly outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I believe that offering a small portion to X recognizes their effort in participating, even with a lower score"
524,"Y moderately outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  the reason for my distribution is that team X also contributed to the task, i think the payment should not go to team Y only."
525,Y barely outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I think that they should still be compensated for participating. They can get the extra cents made.
526,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  I don't think we should give someone else's earned money just to make them feel better.
527,Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I saw that participant x received $0 and I believe in potential and I wanted to give them another chance and invest in their opportunity to try again.
529,Y moderately outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  My decision was based on performance through the efforts of the the participants.
530,"Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Participant Y should keep their full $2.70, and participant X should receive $0.00, as per the original terms of the task. This preserves the integrity of the incentive system and rewards performance as agreed."
531,"Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Because participant X didnt win. Therefore, the previous rule stated that participant X should not get any bonus. Its unfair if I take some from participant Y to give it to X."
532,Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I felt bad leaving player X going home with nothing so I  decided to give him some money too
534,"Y moderately outperformed X. The DM gave a low share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  The main reasons that motivated my decision were a combination of personal growth, alignment with my long-term goals, and a desire to take on new challenges."
535,"Y moderately outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I chose to redistribute $0.50 from Y to X to acknowledge Xs solid effort while still respecting Ys superior performance. X performed above average, even though they didnt outperform Y. This small redistribution provides a token of fairness and recognition for effort, without significantly reducing the reward Y earned through higher achievement. It balances merit-based pay with a sense of fairness."
536,"Y barely outperformed X. The DM gave an equal share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  The decision to redistribute 50% of participant Y's earnings is motivated by the relatively small performance difference between the two participants. While participant Y solved one more problem than participant X, the difference is marginal, and both performances are close to the average within the overall distribution."
537,"Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  It would be unfair, since it is good to share some earnings to the other party."
538,"Y moderately outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  My decision to allocate $0.50 of Ys earnings to X was motivated by a desire to promote fairness by acknowledging the performance difference between the participants, while also providing some support to the less successful participant"
539,"Y barely outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I chose to redistribute $0.55 to participant X because the performance difference between X and Y was very smalljust one correct answeryet the original rule created an all-or-nothing outcome. While Y did slightly outperform X and deserves to keep the majority of the reward, giving a small portion to X recognizes their strong effort and helps reduce the harshness of a total loss. This approach balances merit-based fairness with a sense of equity and proportionality."
542,"Y barely outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I chose to give $0.30 to participant X to acknowledge their close effort while still rewarding Y's superior performance, balancing fairness, merit, and compassion without undermining the competition's rules."
543,Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  They earned their earnings according to their winnings and should be kept as such
544,Y strongly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I felt that person x answered almost have as many as y so they should get something.
546,"Y moderately outperformed X. The DM gave a low share to Y. In the baseline treatment. Motivation provided by DM:  I chose not to redistribute because the rules were clear, and participant Y earned their reward fairly by outperforming X. Changing outcomes afterward would undermine fairness and agreed-upon incentives."
547,Y slightly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  spread the wealth
548,Y barely outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  The reason that motivated me is that I think since  X solved some problems too it would be fair to give him some amount
549,Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Because they knew about instructions given before they take the test.
551,"Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Well, at the beginning both participants were made completely aware of the rules and the stake and they both agreed to participate under those rules. following the rules, participant x made nothing while y made their fair amount."
552,Y barely outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  the thought of giving to others
553,Y barely outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  I decided to give half the earnings to the person that received 0 dollars.
554,Y barely outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  the workers knew the rules when the did the task and work . It would be unfair for me to change the rules that they agreed to when they started the study.
555,"Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  They all participate, and in every game there must be a person who score higher than the other."
556,Y slightly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I wanted to give about 25%
557,"Y barely outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Although they didnt get the most, they deserved some of the payment"
558,"Y barely outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  I believe i equal distribution, and i wanted both to have equal values, without discriminating either"
559,Y slightly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  the fact that the participant participated should be remunerated
561,"Y moderately outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  The reason that motivated my decision is the act of being fair and moral, I try to strike a balance and make sure that the distribution doesn't just go to one person. I acknowledged the effort of the other participant, that was why I made the distribution, the participant solved some problems too and therefore, needs to earn like participant Y. I try to reward the participant for their handwork too and not only allow one participant to have it all, Like I said, I was motivated my being fair in my decision and rewarding everyone for their input and effort."
562,"Y strongly outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Honestly, I balanced merit and fairness: Y deserves most reward for superior performance, but X earned some recognition for effort. $0.50 splits the difference reasonably."
563,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:   or try to even things out.
564,"Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Although they did not get as many questions correct, they should get some compensation."
565,Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I felt that the other participant deserved at least something for their effort and that that was fair
566,Y slightly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  X took time to do the study. Maybe he/she had a problem with completing the questions.
567,"Y strongly outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:   While Participant Y performed significantly better and deserved more, I believe its fair to recognize Participant Xs effort with a small portion. This promotes a balance between rewarding merit and reducing extreme inequality."
568,"Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  Although Participant Y solved 16 problems and Participant X solved 12 problems, I feel both should be compensated. Participant X should get something for solving the problems although they did not complete as many."
569,"Y slightly outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  I like to make things half and X and Y were close in their correct answers.  If they were further apart, I would have given less to X."
570,"Y strongly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  My decision places a high priority on following the rules, which the participants were aware of in advance.  Participant X earned nothing, but Participant Y earned $2.40 for meeting the performance level.  Respecting these conditions guarantees equity, openness, and honors the effort that was initially expressed, all of which are consistent with my personal and professional principles."
571,Y strongly outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  Even though Participant X didn't get any right answers there still should be some compensation for their time and effort.
572,Y strongly outperformed X. The DM gave an equal share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  if solving 21 problems participant y gets 3.15 us that means solving 10 problems x should be granted 1.5 USD
574,"Y barely outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  My decision to redistribute a portion of Participant Y's earnings to Participant X was motivated by fairness and empathy. Although Participant Y solved slightly more problems, the performance gap was minimal, and both participants put in effort to complete the task. Since Participant X received nothing under the original payment rule, transferring a modest amount helps reduce the disparity and acknowledges X's effort. This promotes a sense of equity and ensures that neither participant is left with nothing, which can lead to a more satisfying and just outcome for both parties involved."
575,"Y strongly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I feel like both participants should be paid something for the study. However, since Y solved twice as many as X, then Y should get paid twice as much as X."
576,Y slightly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  Because the other person done good to.
577,Y barely outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  i would wish to award the person X more the effort that they made in the task.
579,Y barely outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  I think getting nothing on a score of 13 to 14 is just unfair so my decision is just awarding the effort of all the participants
580,Y barely outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  Giving the other participant that amount is a generous thing to do.
581,Y strongly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I wanted to
582,Y strongly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I want to leave it as is as it is not my place to choose how much to give each person.
583,"Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  if you already told the participants how the money will be distributed prior in the study, you should not change the rules. The participant who struggled the most should get the full amount with no shortcuts"
584,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The participants were told up front that there would be no compensation if you were last
585,Y strongly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I FELT IT WAS A FAIR AMOUNT
586,Y strongly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  i did not want participant x to go with nothing so i decided to split the money
587,"Y strongly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  Participant X deserves something, but they also did considerably less than Participant Y."
588,Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  2.25 divided by the total number of questions answered multiplied by 11 = .95
589,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The initial rules of the survey about payment motivated my decision.
590,Y barely outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I don't think its fair to not be compensated for spending all the time doing the puzzles and especially when they got nearly the same outcome as the other person so I assume put in similar or at least enough effort to perform as well.
591,"Y barely outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Participant X did almost as well and deserved some compensation, but not as much as Y."
592,Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  I believe that everyone read the instructions before engaging in the study and that they needed to do well so that they get points. So there is no need to re evaluate the point system.
594,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The participant that solved more deserved all the bonus because they did better than the other participant
595,Y slightly outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  This is because the performance-based system acknowledges Xs effort and the reality that small differences in performance shouldn't always mean total loss. Its a gesture of fairness without fully overriding the original terms.
596,"Y strongly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  My decisions prioritize adhering strictly to the explicit rules established for participants. Redistributing earnings without a clear, pre-defined rationale for doing so would be arbitrary and unfair to the participant who earned their money according to the communicated terms."
598,"Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  My primary motivation is to uphold the explicit rules given to participants. Participant Y earned their payment according to the stated terms, and redistributing those earnings without a clear, pre-established justification would be arbitrary and unfair to them."
599,"Y slightly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I choose to give $0.60 of participant Y's earnings to participant X.  This way:  Participant X receives $0.60 for a solid effort (9 correct answers),  Participant Y retains $1.20 for outperforming (12 correct answers),  The decision reflects a balance between merit-based reward and recognition of effort, avoiding the harshness of a full zero payoff for X."
600,Y slightly outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  x  was short of 2
601,Y strongly outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I wanted the distribution to be somehow fair.Particant X getting 0.0 share was not fair to me.atleast awarding participant x will make the share distribution relative.
602,Y slightly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I decided to give participant x 0.50 USD because the gap between their score was that minimal.
603,"Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  I felt like participant y really put in the effort and therefore deserves all that they earned.  Though participant x answered some correctly, they knew that they might not get any money, and they were not as good as y."
605,"Y barely outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  My decision was based on the fact that both participated and the chances that one would end up with nothing and one would end up with all would not be fair. The amount was able to be split to a more even amount for both participants. Also, I feel according to the rules the winner should still benefit more than the loser and thought that something slightly more/less than half would be sufficient enough. This is all due to the fact that I , being the decision maker, is aware of the rules for the participants of the previous study."
606,"Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  Considering the participant did 7 problems, it would be fair if the other participant share at least some amount"
607,Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I believe it is fair to be paid per correct answer.
609,Y slightly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  wanted to be  fair
610,"Y strongly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  participant X solved fewer problems, while participant Y solved at least many problems. based on this performance, participant X earned 0.0 and participant Y earned 2.69999999999997"
611,"Y strongly outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I don't think the bonus rules were fair and I wanted both participants to leave with something. I did want to reward the participant who did really well though, so they still get most of the bonus."
612,"Y barely outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  14 did almost the same as 15, so it seems a bit more fair for the money to be evened up a little, although 15 still gets the most since they outperformed"
613,"Y strongly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Even though participant X scored much lesser than Y, he/she still made effort and earned something from the scores. I think he/she deserves some payment from the small effort applied and scores gained"
614,Y strongly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I wanted to give both people something
615,Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Because of the work done its fare to share
617,Y slightly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Y did more than X in this scenario so they should keep all their earnings
618,Y barely outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  I was trying to be fair in distributing the winnings.
620,Y moderately outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Going into the job / survey the rules clearly stated that participant X to get paid needed to answer as many questions as participant Y.  This did not occur so it would not be fair to participant Y to after the fact take money away from them.
621,"Y strongly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I chose to give Participant X \$1.00 because, although they did not perform as well as Participant Y, they still put in effort and completed a significant number of problems. This partial redistribution recognizes their contribution while still rewarding Participant Y for their higher performance. It strikes a balance between fairness and merit."
622,"Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I feel that paying zero was unlucky and unfair although its determined on luck per say, I feel a little amount is better than nothing."
